time,symbol,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume
70792,ETH/USDT,174.55,169.63,171.33,9.93291,171.37,0.1741,171.98324982,170.99,171.33,171.33,171.02,0.34,0.199,,444287.439,76409997.613887
70802,ETH/USDT,174.55,169.63,171.34,10.0,171.38,6.41878,171.98338079,170.91,171.34,171.34,170.87,0.43,0.252,,444233.20243,76400728.0152759
70812,ETH/USDT,174.55,169.63,171.37,35.63643,171.38,0.00135,171.98441558,170.83,171.38,171.38,170.81,0.55,0.322,,443843.39661,76334147.1744166
70822,ETH/USDT,174.55,169.63,171.44,1.63854,171.47,0.275,171.9863875,170.57,171.44,171.44,170.56,0.87,0.51,,443167.81221,76218831.0765587
70833,ETH/USDT,174.55,169.63,171.4,11.71555,171.42,0.08602,171.98850902,170.54,171.42,171.42,170.54,0.88,0.516,,442571.56193,76117223.0692109
70843,ETH/USDT,174.55,169.63,171.39,10.01371,171.42,2e-05,171.98885319,170.48,171.39,171.39,170.43,0.91,0.534,,442472.8561,76100399.0868044
70853,ETH/USDT,174.55,169.63,171.4,0.20148,171.43,7.033,171.98938945,170.41,171.43,171.43,170.41,1.02,0.599,,442330.96751,76076233.0377612
70863,ETH/USDT,174.55,169.63,171.42,1.56275,171.44,1.42811,171.99021551,170.57,171.43,171.43,170.55,0.86,0.504,,442104.46254,76037641.7883544
70873,ETH/USDT,174.55,169.63,171.39,10.27758,171.43,10.0,171.99032124,170.58,171.42,171.42,170.55,0.84,0.492,,442126.43271,76041467.1914298
71008,ETH/USDT,174.55,169.63,171.41,3.5974,171.45,10.63983,171.99374122,170.57,171.45,171.45,170.58,0.88,0.516,,441247.19796,75891756.3794095
